,obm_id,location_start,survey_station_code,species,total_no,juvenile,adult,water_type
1364,432,Balta excavare apa mica,MU18017,0,0,0,0,lake
1369,431,Ma04 Decantor,MU18019,0,0,0,0,canal
1325,412,Patak 4b NH,MU18002,0,0,0,0,river
1324,413,Patak4a T,MU18001,0,0,0,0,river
1330,419,Patak5b T,MU18007,0,0,0,0,river
1328,421,Patak6a T,MU18005,0,0,0,0,river
1329,420,Patak6b T,MU18006,0,0,0,0,river
543,1027,korispatak2,MU14009,Abramis brama,180,20,160,river
3382,2542,Kraszna Borvely felett T,SO18003,Abramis brama,6,2,4,river
3410,2535,Kraszna Kiralydaroc T,SO18006,Abramis brama,1,0,1,river
3396,2509,Kraszna Perecsen T,SO18005,Abramis brama,4,0,4,river
2144,2467,MAR24KUT,MU19022,Abramis brama,1,0,1,river
2848,1717,Olt 1 legalso T,OL18006,Abramis brama,0,0,0,river
4344,3353,T20 2019 T,TI19002,Abramis brama,2,0,2,river
3803,3557,Tur Harmashatar T,TI20001,Abramis brama,4,0,4,river
3165,4236,Sajo Sajoudvarhely mellett 2010,SO10001,Ballerus sapa,1,NA,1,river
3753,1653,Bega 3 T,TB18001,Abramis sp.,1,1,0,river
2753,176,Olt Scoreiu 1T/Olt Scoreiu legalso T,OL17004,Abramis sp.,245,245,0,river
1317,189,   Nagy Kukullo Galambf2T,MU17017,Alburnoides bipunctatus,171,14,157,river
4383,3293,1 Bef 4T 2019,TI19004,Alburnoides bipunctatus,120,16,104,river
4297,3232,1Bef10T nehezf,TI18008,Alburnoides bipunctatus,95,39,56,river
589,1273,Also Nyarad2,MU14016,Alburnoides bipunctatus,55,10,45,river
596,1284,Also Nyarad3,MU14017,Alburnoides bipunctatus,110,10,100,river
617,1115,Also Nyarad4,MU14018,Alburnoides bipunctatus,60,10,50,river
2992,4334,AM Sinca Veche T,OL21007,Alburnoides bipunctatus,27,3,24,river
1691,454,Aranyos2T,MU18052,Alburnoides bipunctatus,10,1,9,river
1533,554,Aries monit am balastiera,MU18035,Alburnoides bipunctatus,38,6,32,river
1548,540,Aries Monit av balastiera,MU18036,Alburnoides bipunctatus,24,11,13,river
1521,564,Aries monitorizare am Luncani,MU18034,Alburnoides bipunctatus,35,17,18,river
1176,3008,Baratka,CR16003,Alburnoides bipunctatus,145,20,125,river
3795,1589,Barzava 2 T,TB18004,Alburnoides bipunctatus,44,16,28,river
3934,2864,Barzava also T,TB19006,Alburnoides bipunctatus,27,25,2,river
3744,1646,Bega 3 T,TB18001,Alburnoides bipunctatus,81,32,49,river
3776,1630,Bega 4 T,TB18003,Alburnoides bipunctatus,89,16,73,river
3982,4138,Bega ingola T,TB21004,Alburnoides bipunctatus,91,8,83,river
2702,3789,Bela Reca Mehadia T,NC21003,Alburnoides bipunctatus,305,101,204,river
220,1883,Belenyes alatt T,CR18006,Alburnoides bipunctatus,175,59,116,river
244,1893,Belenyes felett T,CR18008,Alburnoides bipunctatus,181,60,121,river
4193,1867,Belenyes telepules T,CR18007,Alburnoides bipunctatus,102,35,67,river
134,397,Berettyo Margine,CR17012,Alburnoides bipunctatus,4,3,1,river
149,387,Berettyo Markai szoros,CR17014,Alburnoides bipunctatus,125,41,84,river
197,2571,Berettyo Paptamasi T,CR18003,Alburnoides bipunctatus,39,10,29,river
137,406,Berettyo Poklos,CR17013,Alburnoides bipunctatus,54,25,29,river
422,4070,Berettyo Tuszatelke T,CR21007,Alburnoides bipunctatus,6,2,4,river
414,4062,Berettyo Valkovaralja T,CR21006,Alburnoides bipunctatus,19,4,15,river
3436,891,Beszterce Sofalva T,SO18008,Alburnoides bipunctatus,91,10,81,river
3257,4198,Beszterce4T,SO15003,Alburnoides bipunctatus,1,NA,1,river
363,3912,Bistra am Chiribis T,CR21001,Alburnoides bipunctatus,94,47,47,river
3736,3209,Bistra Bautar,TB17001,Alburnoides bipunctatus,14,0,14,river
824,1393,BISZTRA ALSO T,MU14084,Alburnoides bipunctatus,3,0,3,river
3245,4193,Budac4T,SO15001,Alburnoides bipunctatus,1,NA,1,river
3812,1613,Caras 1 T,TB18005,Alburnoides bipunctatus,21,3,18,river
3898,2857,Caras 2T,TB19004,Alburnoides bipunctatus,249,74,175,river
2682,3794,Cerna Prisicina T,NC21001,Alburnoides bipunctatus,12,0,12,river
2694,3798,Cerna Toplet T,NC21002,Alburnoides bipunctatus,9,1,8,river
3030,4387,Cornatel T,OL21011,Alburnoides bipunctatus,1,0,1,river
3051,4302,Covasna T,OL21015,Alburnoides bipunctatus,9,4,5,river
435,4145,Crisul Pietros Pietroasa3T,CR21009,Alburnoides bipunctatus,2,NA,2,river
439,4152,Crisul Pietros Poienii de JosT,CR21010,Alburnoides bipunctatus,184,66,118,river
2863,2955,Csibin legalso T,OL18007,Alburnoides bipunctatus,5,1,4,river
2445,2394,Dello alatt cs T (MAR16MAV),MU19045,Alburnoides bipunctatus,25,20,5,river
2209,2380,Dello kovezett part T (MAR15KES),MU19027,Alburnoides bipunctatus,25,25,0,river
1819,1008,Dicso alatt T,MU18063,Alburnoides bipunctatus,38,14,24,river
1835,2035,Dicso felett T,MU18064,Alburnoides bipunctatus,84,25,59,river
1805,997,Dicso varos T,MU18062,Alburnoides bipunctatus,74,37,37,river
1658,3086,Egyesult Kukullo 1 T,MU18047,Alburnoides bipunctatus,26,13,13,river
4141,329,Feher-Koros Barza,CR17005,Alburnoides bipunctatus,87,61,26,river
408,3893,Feher-Koros Cintei T,CR21005,Alburnoides bipunctatus,44,1,43,river
4275,2838,Feher-Koros Kisjeno T,CR19003,Alburnoides bipunctatus,153,34,119,river
4127,3165,Fekete-Koros Belenyessonkoly,CR17004,Alburnoides bipunctatus,121,71,50,river
38,3148,Fekete-Koros legalso,CR17003,Alburnoides bipunctatus,27,NA,NA,river
380,3876,Fekete-Koros masodik T,CR21004,Alburnoides bipunctatus,278,161,117,river
4114,3104,Fekete-Koros Rapa csonakbol legfelso,CR17001,Alburnoides bipunctatus,14,NA,NA,river
8,3125,Fekete-Koros Tenke (Zingel z),CR17002,Alburnoides bipunctatus,23,NA,NA,river
2790,2985,Feketeugy also T,OL18003,Alburnoides bipunctatus,113,58,55,river
2780,2970,Feketeugy felso Cofalva T,OL18002,Alburnoides bipunctatus,84,18,66,river
93,314,F-Koros Borosjeno alatt,CR17006,Alburnoides bipunctatus,146,87,59,river
3590,4027,Fuzes also T,SO21007,Alburnoides bipunctatus,5,1,4,river
864,1409,GALONYA ALSO T,MU14096,Alburnoides bipunctatus,8,0,8,river
2528,2134,Gorgeny T,MU19052,Alburnoides bipunctatus,132,59,73,river
374,3900,Gyepes T,CR21002,Alburnoides bipunctatus,54,7,47,river
16,3688,H07 allamvizsga,CR07001,Alburnoides bipunctatus,85,NA,NA,river
2875,2934,Hortobagy also T,OL18008,Alburnoides bipunctatus,22,10,12,river
2883,2947,Hortobagy felso T,OL18009,Alburnoides bipunctatus,25,3,22,river
2100,2108,Idecs T,MU19016,Alburnoides bipunctatus,6,0,6,river
766,1439,ILVA1,MU14065,Alburnoides bipunctatus,15,0,15,river
4228,937,Iza also T,TI18006,Alburnoides bipunctatus,156,65,91,river
4053,925,Iza felso T,TI18002,Alburnoides bipunctatus,231,45,186,river
1639,3072,Kis-Kukullo 1T,MU18046,Alburnoides bipunctatus,12,3,9,river
559,1059,Kis-Nyarad1,MU14011,Alburnoides bipunctatus,4,0,4,river
575,1052,Kis-Nyarad2,MU14014,Alburnoides bipunctatus,15,0,15,river
3680,4105,Kis-Szamos Bonchida T,SO21023,Alburnoides bipunctatus,137,92,45,river
3209,3514,Kis-Szamos Des,SO14003,Alburnoides bipunctatus,25,5,20,river
3244,3475,Kis-Szamos felso,SO14006,Alburnoides bipunctatus,4,3,1,river
