,obm_datum,location_start,survey_station_code,location_end,basin,river,date,time_start,time_end,team,site_length,site_width,area_surface,depth_mean,depth_max,covering,shading,meander,electrofisher_type,type_of_electrofishing,water_level,land_use_right,rb_fine_sediment,rb_sand,rb_gravel,rb_stone,rb_large_stone,rb_concrete,rb_clay,lu_right_bank,lu_left_bank,lbv_grasses,lbv_wood,lbv_stone,lbv_concrete,rbv_grasses,rbv_wood,rbv_stone,rbv_concrete,ws_rapid,ws_medium,ws_slow,ws_stagnant,transparency,naturalness,date_of_modification,ph,conductivity,tds,disolved_oxygen_proc,disolved_oxygen_mgl,temperature,site_width_max,lbv_bushes,rbv_bushes,altitude,water_type,etrs10,sci,bazin,bazin_code,bazin2_ccm2,geometry x,geometry y,,
9,9/7/2018 0:00,Olt 1 legalso T,OL18006,328,Olt,Olt,NA,780,925,"Nagy András Attila, Kovács Attila",300,55,1000,70,150,0,1,0,1,wading,3,NA,8,15,57,20,0,0,0,"concrete, bushes, deciduous forest","concrete, bushes, deciduous forest, gravel sorting station",0,0,20,70,0,0,20,70,20,42,20,18,3,3,20-30 year,7.51,460,230,94,7.6,23.4,65,10,10,362.12,river,10km10kmE542N261,ROSCI0304: Hârtibaciu Sud - Vest,Olt,OL,Olt,24.289176,45.64354,c(NaN, NaN)
10,8/20/2021 1:00,Avrig AM CF Olt T,OL21012,NA,Olt,Avrig,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,4,200,40,120,0,5,2,0,wading,3,NA,7,13,20,35,10,0,15,"Pășune, stâncă, argilă, tufăriș","Pășune, stâncă,  tufăriș",50,10,30,0,50,15,20,0,10,60,20,10,4,2,NA,NA,NA,NA,NA,NA,NA,8,10,15,NA,river,10km10kmE543N262,NA,Olt,OL,Olt,24.40775338,45.71795593,c(NaN, NaN)
11,9/7/2018 0:00,Csibin legalso T,OL18007,327,Olt,Cibin,NA,660,NA,"Nagy András Attila, Kelemen Alpár",150,12,600,65,130,0,35,1,1,wading,3,NA,35,45,20,0,0,0,0,"fűz, mezőgazdasági terület","fűz, mezőgazdasági terület",10,55,0,0,15,45,0,0,10,45,35,10,2,3,30-50 year,7.66,458,229,80,7.1,18.2,16,35,40,376.56,river,10km10kmE542N261,NA,Olt,OL,Olt,24.26523201,45.697514,c(NaN, NaN)
12,10/18/2017 0:00,Szeben felett,OL17003,207,Olt,Cibin,NA,810,920,"Nagy András Attila, Bârzan David",150,7,450,55,130,0,40,0,1,wading,3,NA,8,20,61,10,0,1,0,"willow, alder, grassland","willow, alder, grassland",50,50,0,0,40,60,0,0,15,55,29,1,2,2,10-20 year,7.7,130,65,110,11.1,12.8,9,0,0,419.67,river,10km10kmE541N262,NA,Olt,OL,Olt,24.094247,45.775248,c(NaN, NaN)
13,10/18/2017 0:00,Szeben alatt,OL17002,206,Olt,Cibin,NA,630,750,"Nagy András Attila, Bârzan David",150,7,450,70,130,0,75,2,1,wading,3,NA,20,55,20,5,0,0,0,"willow, agricultural land","willow, agricultural land, deciduous forest",20,80,0,0,20,80,0,0,5,15,75,5,3,2, 30-50 year,7.58,197,99,87,9.1,11.5,11,0,0,392.48,river,10km10kmE542N262,NA,Olt,OL,Olt,24.218751,45.764401,c(NaN, NaN)
14,10/18/2017 0:00,Szeben varos,OL17001,208,Olt,Cibin,NA,955,1035,"Nagy András Attila, Barzan David",150,9,450,50,80,0,5,0,1,wading,3,NA,40,35,20,5,0,0,0,"willow, locality","willow, locality",80,20,0,0,80,20,0,0,0,15,85,0,2,3,>100 year,7.37,157,79,92,9,14.1,10,0,0,409.45,river,10km10kmE541N262,NA,Olt,OL,Olt,24.145898,45.802256,c(NaN, NaN)
15,8/20/2021 1:00,Cornatel T,OL21011,NA,Olt,Cornatel,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,3,200,30,110,0,40,0,0,wading,3,NA,15,25,20,30,5,0,5,Pășune copaci salcie,"Făneață,copaci,teren arabil",60,30,0,0,60,30,0,0,0,60,30,10,3,1,NA,NA,NA,NA,NA,NA,NA,8,10,10,NA,river,10km10kmE543N262,ROSCI0132: Oltul Mijlociu - Cibin - Hârtibaciu,Olt,OL,Olt,24.35016099,45.79941858,c(NaN, NaN)
16,9/7/2018 0:00,Hortobagy also T,OL18008,329,Olt,Hartibaciu,NA,990,NA,"Nagy András Attila, Kelemen Alpár",150,5,450,60,120,0,35,2,1,wading,3,NA,17,33,45,5,0,0,0,"fűz, mezőgazdasági terület","fűz, legelő, töltés, mez. ter.",90,10,0,0,80,20,0,0,5,50,40,5,3,2,20-30 year,8.08,929,465,106,9.6,20,8,0,0,398.67,river,10km10kmE543N262,NA,Olt,OL,Olt,24.34759201,45.797203,c(NaN, NaN)
17,10/20/2017 0:00,Olt Scoreiu 1T/Olt Scoreiu legalso T,OL17004,"213,214",Olt,Olt,NA,570,840,"Nagy András Attila, Imecs István",500,200,2000,100,300,0,2,0,1,wading,1,NA,40,10,10,40,0,0,0,"willow, alder, poplar, pasture, agricultural land","willow, alder, poplar, agricultural land",70,25,0,5,50,45,0,5,0,5,45,50,4,3,20-30 year,NA,NA,NA,NA,NA,NA,240,0,0,378.04,river,10km10kmE544N262,ROSCI0132: Oltul Mijlociu - Cibin - Hârtibaciu,Olt,OL,Olt,24.47671794,45.77516353,c(NaN, NaN)
18,8/20/2021 1:00,Paraul Nou AM CF Olt T,OL21010,NA,Olt,Paraul-Nou,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,5,200,30,150,0,60,0,0,wading,3,NA,15,5,20,30,30,0,0,"Pădure mixtă și pășune,","Pădure mixtă și pășune,anin,salcie",70,20,10,0,70,20,10,0,0,20,60,20,2,2,NA,NA,NA,NA,NA,NA,NA,8,0,0,NA,river,10km10kmE544N263,NA,Olt,OL,Olt,24.5773119,45.81245443,c(NaN, NaN)
